Aadorf;Kanton Thurgau TG;4551;9037;19,93;453,4
Aarau;Kanton Aargau AG;4001;21'473;12,36;1737,3
Aarberg;Kanton Bern BE;301;4628;7,94;582,9
Aarburg;Kanton Aargau AG;4271;8362;4,40;1900,5
Aarwangen;Kanton Bern BE;321;4561;9,87;462,1
Abtwil;Kanton Aargau AG;4221;966;4,14;233,3
Aclens;Kanton Waadt VD;5621;535;3,90;137,2
Acquarossa;Kanton Tessin TI;5048;1808;61,77;29,3
Adelboden;Kanton Bern BE;561;3390;87,64;38,7
Adligenswil;Kanton Luzern LU;1051;5391;6,98;772,3
Adlikon;Kanton Zürich ZH;21;707;6,62;106,8
Adliswil;Kanton Zürich ZH;131;18'769;7,78;2412,5
Aedermannsdorf;Kanton Solothurn SO;2421;570;12,94;44
Aefligen;Kanton Bern BE;401;1090;2,06;529,1
Aegerten;Kanton Bern BE;731;2159;2,16;999,5
Aesch (BL);Kanton Basel-Landschaft BL;2761;10'352;7,40;1398,9
Aesch (LU);Kanton Luzern LU;1021;1246;4,65;268
Aesch (ZH);Kanton Zürich ZH;241;1555;5,21;298,5
Aeschi (SO);Kanton Solothurn SO;2511;1214;5,41;224,4
Aeschi bei Spiez;Kanton Bern BE;562;2217;30,93;71,7
Aeugst am Albis;Kanton Zürich ZH;1;1982;7,90;250,9
Affeltrangen;Kanton Thurgau TG;4711;2552;14,40;177,2
Affoltern am Albis;Kanton Zürich ZH;2;12'229;10,53;1161,3
Affoltern im Emmental;Kanton Bern BE;951;1101;11,44;96,2
Agarn;Kanton Wallis VS;6101;718;7,61;94,3
Agiez;Kanton Waadt VD;5742;326;5,45;59,8
Agno;Kanton Tessin TI;5141;4445;2,51;1770,9
Aigle;Kanton Waadt VD;5401;10'119;16,50;613,3
Aire-la-Ville;Kanton Genf GE;6601;1184;2,88;411,1
Airolo;Kanton Tessin TI;5061;1501;94,40;15,9
Alberswil;Kanton Luzern LU;1121;662;3,56;186
Albinen;Kanton Wallis VS;6102;238;15,56;15,3
Albula/Alvra;Kanton Graubünden GR;3542;1310;93,97;13,9
Alchenstorf;Kanton Bern BE;402;575;6,61;87
Allaman;Kanton Waadt VD;5851;442;2,59;170,7
Alle;Kanton Jura JU;6771;1850;10,65;173,7
Allmendingen;Kanton Bern BE;630;590;3,77;156,5
Allschwil;Kanton Basel-Landschaft BL;2762;21'157;8,91;2374,5
Alpnach;Kanton Obwalden OW;1401;6031;53,83;112
Alpthal;Kanton Schwyz SZ;1361;616;22,94;26,9
Altbüron;Kanton Luzern LU;1122;1005;6,72;149,6
Altdorf (UR);Kanton Uri UR;1201;9401;10,19;922,6
Altendorf;Kanton Schwyz SZ;1341;7083;20,48;345,8
Alterswil;Kanton Freiburg FR;2291;2028;16,15;125,6
Altikon;Kanton Zürich ZH;211;706;7,71;91,6
Altishofen;Kanton Luzern LU;1123;1955;5,74;340,6
Altnau;Kanton Thurgau TG;4641;2244;6,71;334,4
Alto Malcantone;Kanton Tessin TI;5237;1405;22,06;63,7
Altstätten;Kanton St. Gallen SG;3251;11'733;39,56;296,6
Altwis;Kanton Luzern LU;1022;437;2,93;149,1
Amden;Kanton St. Gallen SG;3311;1784;43,04;41,4
Amlikon-Bissegg;Kanton Thurgau TG;4881;1346;14,43;93,3
